service_id,date,exception_type
hjam2501-Weekday-1-JA2025-1111100,20250121,1
hjam2501-Weekday-1-JA2025-1111100,20250122,1
hjam2501-Weekday-1-JA2025-1111100,20250123,1
hjam2501-Weekday-1-JA2025-1111100,20250124,1
hjam2501-Weekday-1-JA2025-1111100,20250127,1
hjam2501-Weekday-1-JA2025-1111100,20250128,1
hjam2501-Weekday-1-JA2025-1111100,20250129,1
hjam2501-Weekday-1-JA2025-1111100,20250130,1
hjam2501-Weekday-1-JA2025-1111100,20250131,1
hjam2501-Weekday-1-JA2025-1111100,20250203,1
hjam2501-Weekday-1-JA2025-1111100,20250204,1
hjam2501-Weekday-1-JA2025-1111100,20250205,1
hjam2501-Weekday-1-JA2025-1111100,20250206,1
hjam2501-Weekday-1-JA2025-1111100,20250207,1
hjam2501-Weekday-1-JA2025-1111100,20250210,1
hjam2501-Weekday-1-JA2025-1111100,20250211,1
hjam2501-Weekday-1-JA2025-1111100,20250212,1
hjam2501-Weekday-1-JA2025-1111100,20250213,1
hjam2501-Weekday-1-JA2025-1111100,20250214,1
hjam2501-Weekday-1-JA2025-1111100,20250217,1
hjam2501-Weekday-1-JA2025-1111100,20250218,1
hjam2501-Weekday-1-JA2025-1111100,20250219,1
hjam2501-Weekday-1-JA2025-1111100,20250220,1
hjam2501-Weekday-1-JA2025-1111100,20250221,1
hjam2501-Weekday-1-JA2025-1111100,20250224,1
hjam2501-Weekday-1-JA2025-1111100,20250225,1
hjam2501-Weekday-1-JA2025-1111100,20250226,1
hjam2501-Weekday-1-JA2025-1111100,20250227,1
hjam2501-Weekday-1-JA2025-1111100,20250228,1
hjam2501-Weekday-1-JA2025-1111100,20250303,1
hjam2501-Weekday-1-JA2025-1111100,20250304,1
hjam2501-Weekday-1-JA2025-1111100,20250305,1
hjam2501-Weekday-1-JA2025-1111100,20250306,1
hjam2501-Weekday-1-JA2025-1111100,20250307,1
hjam2501-Weekday-1-JA2025-1111100,20250310,1
hjam2501-Weekday-1-JA2025-1111100,20250311,1
hjam2501-Weekday-1-JA2025-1111100,20250312,1
hjam2501-Weekday-1-JA2025-1111100,20250313,1
hjam2501-Weekday-1-JA2025-1111100,20250314,1
hjam2501-Weekday-1-JA2025-1111100,20250317,1
hjam2501-Weekday-1-JA2025-1111100,20250318,1
hjam2501-Weekday-1-JA2025-1111100,20250319,1
hjam2501-Weekday-1-JA2025-1111100,20250320,1
hjam2501-Weekday-1-JA2025-1111100,20250321,1
hjam2501-Weekday-1-JA2025-1111100,20250324,1
hjam2501-Weekday-1-JA2025-1111100,20250325,1
hjam2501-Weekday-1-JA2025-1111100,20250326,1
hjam2501-Weekday-1-JA2025-1111100,20250327,1
hjam2501-Weekday-1-JA2025-1111100,20250328,1
hjam2501-Weekday-1-JA2025-1111100,20250331,1
hjam2501-Weekday-1-JA2025-1111100,20250401,1
hjam2501-Weekday-1-JA2025-1111100,20250402,1
hjam2501-Weekday-1-JA2025-1111100,20250403,1
hjam2501-Weekday-1-JA2025-1111100,20250404,1
hjam2501-Weekday-1-JA2025-1111100,20250407,1
hjam2501-Weekday-1-JA2025-1111100,20250408,1
hjam2501-Weekday-1-JA2025-1111100,20250409,1
hjam2501-Weekday-1-JA2025-1111100,20250410,1
hjam2501-Weekday-1-JA2025-1111100,20250411,1
hjam2501-Weekday-1-JA2025-1111100,20250414,1
hjam2501-Weekday-1-JA2025-1111100,20250415,1
hjam2501-Weekday-1-JA2025-1111100,20250416,1
hjam2501-Weekday-1-JA2025-1111100,20250417,1
hjam2501-Weekday-1-JA2025-1111100,20250418,1
hjam2501-Weekday-1-JA2025-1111100,20250421,1
hjam2501-Weekday-1-JA2025-1111100,20250422,1
hjam2501-Weekday-1-JA2025-1111100,20250423,1
hjam2501-Weekday-1-JA2025-1111100,20250424,1
hjam2501-Weekday-1-JA2025-1111100,20250425,1
hjam2501-Weekday-1-JA2025-1111100,20250428,1
hjam2501-Weekday-1-JA2025-1111100,20250429,1
hjam2501-Weekday-1-JA2025-1111100,20250430,1
hjam2501-Weekday-1-JA2025-1111100,20250501,1
hjam2501-Weekday-1-JA2025-1111100,20250502,1
hjam2501-Weekday-1-JA2025-1111100,20250505,1
hjam2501-Weekday-1-JA2025-1111100,20250506,1
hjam2501-Weekday-1-JA2025-1111100,20250507,1
hjam2501-Weekday-1-JA2025-1111100,20250508,1
hjam2501-Weekday-1-JA2025-1111100,20250509,1
hjam2501-Weekday-1-JA2025-1111100,20250512,1
hjam2501-Weekday-1-JA2025-1111100,20250513,1
hjam2501-Weekday-1-JA2025-1111100,20250514,1
hjam2501-Weekday-1-JA2025-1111100,20250515,1
hjam2501-Weekday-1-JA2025-1111100,20250516,1
hjam2501-Weekday-1-JA2025-1111100,20250519,1
hjam2501-Weekday-1-JA2025-1111100,20250520,1
hjam2501-Weekday-1-JA2025-1111100,20250521,1
hjam2501-Weekday-1-JA2025-1111100,20250522,1
hjam2501-Weekday-1-JA2025-1111100,20250523,1
hjam2501-Weekday-1-JA2025-1111100,20250527,1
hjam2501-Weekday-1-JA2025-1111100,20250528,1
hjam2501-Weekday-1-JA2025-1111100,20250529,1
hjam2501-Weekday-1-JA2025-1111100,20250530,1
hjam2501-Weekday-1-JA2025-1111100,20250602,1
hjam2501-Weekday-1-JA2025-1111100,20250603,1
hjam2501-Weekday-1-JA2025-1111100,20250604,1
hjam2501-Weekday-1-JA2025-1111100,20250605,1
hjam2501-Weekday-1-JA2025-1111100,20250606,1
hjam2501-Weekday-1-JA2025-1111100,20250609,1
hjam2501-Weekday-1-JA2025-1111100,20250610,1
hjam2501-Weekday-1-JA2025-1111100,20250611,1
hjam2501-Weekday-1-JA2025-1111100,20250612,1
hjam2501-Weekday-1-JA2025-1111100,20250613,1
hjam2501-Weekday-1-JA2025-1111100,20250616,1
hjam2501-Weekday-1-JA2025-1111100,20250617,1
hjam2501-Weekday-1-JA2025-1111100,20250618,1
hjam2501-Weekday-1-JA2025-1111100,20250620,1
hjam2506-Saturday-1-JA2025-0000010,20250118,1
hjam2506-Saturday-1-JA2025-0000010,20250125,1
hjam2506-Saturday-1-JA2025-0000010,20250201,1
hjam2506-Saturday-1-JA2025-0000010,20250208,1
hjam2506-Saturday-1-JA2025-0000010,20250215,1
hjam2506-Saturday-1-JA2025-0000010,20250222,1
hjam2506-Saturday-1-JA2025-0000010,20250301,1
hjam2506-Saturday-1-JA2025-0000010,20250308,1
hjam2506-Saturday-1-JA2025-0000010,20250315,1
hjam2506-Saturday-1-JA2025-0000010,20250322,1
hjam2506-Saturday-1-JA2025-0000010,20250329,1
hjam2506-Saturday-1-JA2025-0000010,20250405,1
hjam2506-Saturday-1-JA2025-0000010,20250412,1
hjam2506-Saturday-1-JA2025-0000010,20250419,1
hjam2506-Saturday-1-JA2025-0000010,20250426,1
hjam2506-Saturday-1-JA2025-0000010,20250503,1
hjam2506-Saturday-1-JA2025-0000010,20250510,1
hjam2506-Saturday-1-JA2025-0000010,20250517,1
hjam2506-Saturday-1-JA2025-0000010,20250524,1
hjam2506-Saturday-1-JA2025-0000010,20250531,1
hjam2506-Saturday-1-JA2025-0000010,20250607,1
hjam2506-Saturday-1-JA2025-0000010,20250614,1
hjam2507-Sunday-1-JA2025-0000001,20250119,1
hjam2507-Sunday-1-JA2025-0000001,20250120,1
hjam2507-Sunday-1-JA2025-0000001,20250126,1
hjam2507-Sunday-1-JA2025-0000001,20250202,1
hjam2507-Sunday-1-JA2025-0000001,20250209,1
hjam2507-Sunday-1-JA2025-0000001,20250216,1
hjam2507-Sunday-1-JA2025-0000001,20250223,1
hjam2507-Sunday-1-JA2025-0000001,20250302,1
hjam2507-Sunday-1-JA2025-0000001,20250309,1
hjam2507-Sunday-1-JA2025-0000001,20250316,1
hjam2507-Sunday-1-JA2025-0000001,20250323,1
hjam2507-Sunday-1-JA2025-0000001,20250330,1
hjam2507-Sunday-1-JA2025-0000001,20250406,1
hjam2507-Sunday-1-JA2025-0000001,20250413,1
hjam2507-Sunday-1-JA2025-0000001,20250420,1
hjam2507-Sunday-1-JA2025-0000001,20250427,1
hjam2507-Sunday-1-JA2025-0000001,20250504,1
