route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_type,trip_footnote
61,hjam2501-Weekday-1-JA2025-1111100,4011293,"Providence",0,444459,610014,0,
61,hjam2501-Weekday-1-JA2025-1111100,4011294,"Tiverton",1,444453,610015,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011295,"Kingston Station",1,448269,640064,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011296,"Newport via Naval Center (Limited Stops)",0,444451,640067,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011297,"Kingston Station",1,448270,640066,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011298,"Newport",0,448270,640065,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011299,"Kingston Station",1,448270,640064,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011300,"Newport",0,448273,640065,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011301,"Kingston Station",1,448273,640066,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011302,"Newport",0,448269,640065,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011303,"Newport",0,448270,640065,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011304,"Kingston Station",1,448270,640064,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011305,"Newport",0,444450,640065,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011306,"Newport via Naval Center",0,444450,640068,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011307,"Newport",0,444451,640065,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011308,"Kingston Station",1,444450,640064,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011309,"Kingston Station",1,444451,640064,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011310,"Newport",0,444451,640065,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011311,"Kingston Station",1,444451,640064,0,
64,hjam2501-Weekday-1-JA2025-1111100,4011312,"Kingston Station",1,444452,640064,0,
61,hjam2501-Weekday-1-JA2025-1111100,4011313,"Providence",0,444453,610012,0,
24,hjam2501-Weekday-1-JA2025-1111100,4011314,"Providence",0,444454,240019,0,
24,hjam2501-Weekday-1-JA2025-1111100,4011315,"Providence",0,444455,240019,0,
24,hjam2501-Weekday-1-JA2025-1111100,4011316,"Providence",0,444456,240019,0,
24,hjam2501-Weekday-1-JA2025-1111100,4011317,"Newport",1,444454,240020,0,
24,hjam2501-Weekday-1-JA2025-1111100,4011318,"Newport",1,444455,240020,0,
24,hjam2501-Weekday-1-JA2025-1111100,4011319,"Newport",1,444456,240020,0,
14,hjam2501-Weekday-1-JA2025-1111100,4011327,"Narragansett",1,445565,140091,0,
14,hjam2501-Weekday-1-JA2025-1111100,4011328,"Newport via Jamestown",1,448265,140089,0,
14,hjam2501-Weekday-1-JA2025-1111100,4011329,"Providence",0,445565,140086,0,
14,hjam2501-Weekday-1-JA2025-1111100,4011330,"Providence via Jamestown",0,448265,140090,0,
14,hjam2501-Weekday-1-JA2025-1111100,4011331,"Narragansett",1,444479,140091,0,
